City,Movehub Rating,Purchase Power,Health Care,Pollution,Crime Rating,Quality of Life Rating
Melbourne,92.58,55.48,76.67,30.28,48.75,Life is good
Vienna,81.84,51.21,79.86,22.39,27.45,Life is good
Venice,78.82,45.69,72.67,11.48,21.48,Life is good
Wellington,81.06,49.11,73.72,30.55,27.38,Life is good
Oxford,80.94,50.33,66.2,11.48,24.22,Life is good
Nottingham,80.42,53.57,79.63,24.54,44.38,Life is good
Glasgow,84.23,85.0,90.55,0.0,60.0,Life is good
Aberdeen,81.89,49.7,82.86,34.31,24.22,Life is good
Leeds,82.57,63.88,81.48,18.48,28.91,Life is good
Leicester,83.36,71.88,60.64,18.04,24.22,Life is good
Toronto,88.42,61.44,66.11,8.95,27.4,Life is good
Edinburgh,83.92,58.77,60.64,13.94,30.51,Life is good
Brisbane,87.63,53.72,88.89,22.19,45.84,Life is good
Perth,95.38,62.11,80.56,23.53,50.01,Life is good
Stockholm,82.85,51.03,82.5,13.93,25.62,Life is good
Montreal,89.28,66.99,66.77,6.27,31.63,Life is good
Amsterdam,84.0,47.18,68.06,53.42,29.76,Life is good
Darwin,79.63,49.51,75.28,6.78,32.8,Life is good
Chicago,83.01,66.77,62.92,22.98,54.52,Doesn't get any better!
Phoenix,86.37,80.54,64.9,38.77,41.41,Doesn't get any better!
San Antonio,83.76,74.78,60.97,59.19,51.41,Doesn't get any better!
San Diego,83.29,71.37,67.22,32.64,39.55,Doesn't get any better!
Dallas,84.71,76.18,69.99,83.89,59.9,Doesn't get any better!
Austin,84.86,69.22,73.61,28.84,42.5,Doesn't get any better!
Charlotte,84.46,77.18,72.08,67.05,30.21,Doesn't get any better!
Boston,82.2,59.28,78.04,61.77,40.69,Doesn't get any better!
Seattle,85.38,78.46,75.46,32.9,42.03,Doesn't get any better!
Baltimore,84.28,78.78,72.08,77.98,58.85,Doesn't get any better!
Nashville,80.61,80.3,60.3,0.0,25.5,Doesn't get any better!
Portland,84.23,72.6,72.77,31.98,39.22,Doesn't get any better!
Atlanta,84.92,80.83,61.11,63.09,56.04,Doesn't get any better!
Minneapolis,83.47,69.91,62.35,77.94,40.36,Doesn't get any better!
New Orleans,82.56,66.32,65.83,14.76,42.19,Doesn't get any better!
Tampa,84.27,75.72,56.94,49.89,60.73,Doesn't get any better!
Saint Louis,85.25,80.4,77.29,31.33,78.13,Doesn't get any better!
Orlando,84.39,71.07,76.01,70.75,55.07,Doesn't get any better!
Hamilton,81.34,56.52,86.67,81.68,35.68,Doesn't get any better!
Asheville,83.17,70.51,79.02,30.55,30.21,Doesn't get any better!
Geneva,83.27,61.22,74.88,29.43,54.36,Doesn't get any better!
Berlin,89.54,68.72,65.48,16.05,24.18,Doesn't get any better!
Ottawa,87.69,91.85,66.02,33.55,22.25,Doesn't get any better!
Belfast,82.15,52.8,33.33,29.24,34.06,Doesn't get any better!
Dresden,84.75,82.6,78.29,16.89,15.34,Doesn't get any better!
Edmonton,85.94,67.19,78.83,22.79,31.14,Doesn't get any better!
Hamburg,84.66,61.13,82.41,67.78,25.52,Doesn't get any better!
Liverpool,81.23,53.78,82.86,55.35,28.7,Doesn't get any better!
Victoria,81.44,52.91,79.63,68.93,42.45,Doesn't get any better!
Cologne,82.18,59.18,67.88,68.41,27.08,Doesn't get any better!
